this_publ,author
https://dblp.org/rec/conf/icfp/0002KBD16,https://dblp.org/pid/31/910
https://dblp.org/rec/conf/icfp/0002KBD16,https://dblp.org/pid/54/4483-2
https://dblp.org/rec/conf/icfp/0002KBD16,https://dblp.org/pid/96/8576
https://dblp.org/rec/conf/icfp/0002KBD16,https://dblp.org/pid/d/DerekDreyer
https://dblp.org/rec/conf/icfp/0008E14,https://dblp.org/pid/34/1910-8
https://dblp.org/rec/conf/icfp/0008E14,https://dblp.org/pid/e/MErwig
https://dblp.org/rec/conf/icfp/Abadi06,https://dblp.org/pid/a/MartinAbadi
https://dblp.org/rec/conf/icfp/Abadi16,https://dblp.org/pid/a/MartinAbadi
https://dblp.org/rec/conf/icfp/AbadiLL96,https://dblp.org/pid/97/6204
https://dblp.org/rec/conf/icfp/AbadiLL96,https://dblp.org/pid/a/MartinAbadi
https://dblp.org/rec/conf/icfp/AbadiLL96,https://dblp.org/pid/l/ButlerWLampson
https://dblp.org/rec/conf/icfp/AbelP13,https://dblp.org/pid/99/2595-1
https://dblp.org/rec/conf/icfp/AbelP13,https://dblp.org/pid/p/BrigittePientka
https://dblp.org/rec/conf/icfp/AcarCRS16,https://dblp.org/pid/39/9960
https://dblp.org/rec/conf/icfp/AcarCRS16,https://dblp.org/pid/44/3421
https://dblp.org/rec/conf/icfp/AcarCRS16,https://dblp.org/pid/55/5002
https://dblp.org/rec/conf/icfp/AcarCRS16,https://dblp.org/pid/82/6878
https://dblp.org/rec/conf/icfp/AccattoliBM14,https://dblp.org/pid/06/7803
https://dblp.org/rec/conf/icfp/AccattoliBM14,https://dblp.org/pid/33/4213
https://dblp.org/rec/conf/icfp/AccattoliBM14,https://dblp.org/pid/90/7361
https://dblp.org/rec/conf/icfp/AdamsD08,https://dblp.org/pid/37/3316-1
https://dblp.org/rec/conf/icfp/AdamsD08,https://dblp.org/pid/d/RKentDybvig
https://dblp.org/rec/conf/icfp/AertsV97,https://dblp.org/pid/29/5924
https://dblp.org/rec/conf/icfp/AertsV97,https://dblp.org/pid/80/1137
https://dblp.org/rec/conf/icfp/AhmedB08,https://dblp.org/pid/a/AmalAhmed
https://dblp.org/rec/conf/icfp/AhmedB08,https://dblp.org/pid/b/MatthiasBlume
https://dblp.org/rec/conf/icfp/AhmedB11,https://dblp.org/pid/a/AmalAhmed
https://dblp.org/rec/conf/icfp/AhmedB11,https://dblp.org/pid/b/MatthiasBlume
https://dblp.org/rec/conf/icfp/AhmedFM05,https://dblp.org/pid/a/AmalAhmed
https://dblp.org/rec/conf/icfp/AhmedFM05,https://dblp.org/pid/f/MatthewFluet
https://dblp.org/rec/conf/icfp/AhmedFM05,https://dblp.org/pid/m/JGMorrisett
https://dblp.org/rec/conf/icfp/AhnS11,https://dblp.org/pid/32/7796
https://dblp.org/rec/conf/icfp/AhnS11,https://dblp.org/pid/s/TimSheard
https://dblp.org/rec/conf/icfp/AlpuenteHLV99,https://dblp.org/pid/a/MariaAlpuente
https://dblp.org/rec/conf/icfp/AlpuenteHLV99,https://dblp.org/pid/h/MichaelHanus
https://dblp.org/rec/conf/icfp/AlpuenteHLV99,https://dblp.org/pid/l/SalvadorLucas
https://dblp.org/rec/conf/icfp/AlpuenteHLV99,https://dblp.org/pid/v/GermanVidal
https://dblp.org/rec/conf/icfp/AnandCK01,https://dblp.org/pid/95/5667
https://dblp.org/rec/conf/icfp/AnandCK01,https://dblp.org/pid/c/WeiNganChin
https://dblp.org/rec/conf/icfp/AnandCK01,https://dblp.org/pid/k/SiauChenKhoo
https://dblp.org/rec/conf/icfp/AngiuliMLH14,https://dblp.org/pid/154/2030
https://dblp.org/rec/conf/icfp/AngiuliMLH14,https://dblp.org/pid/154/2268
https://dblp.org/rec/conf/icfp/AngiuliMLH14,https://dblp.org/pid/47/1513
https://dblp.org/rec/conf/icfp/AngiuliMLH14,https://dblp.org/pid/h/RobertHarper
https://dblp.org/rec/conf/icfp/AnP98,https://dblp.org/pid/90/4337
https://dblp.org/rec/conf/icfp/AnP98,https://dblp.org/pid/90/4476
https://dblp.org/rec/conf/icfp/AriolaHS04,https://dblp.org/pid/65/6934
https://dblp.org/rec/conf/icfp/AriolaHS04,https://dblp.org/pid/76/2207
https://dblp.org/rec/conf/icfp/AriolaHS04,https://dblp.org/pid/90/6992
https://dblp.org/rec/conf/icfp/Armstrong97,https://dblp.org/pid/36/895
https://dblp.org/rec/conf/icfp/ArnoldHKBS10,https://dblp.org/pid/01/1012
https://dblp.org/rec/conf/icfp/ArnoldHKBS10,https://dblp.org/pid/20/1858
https://dblp.org/rec/conf/icfp/ArnoldHKBS10,https://dblp.org/pid/21/8611
https://dblp.org/rec/conf/icfp/ArnoldHKBS10,https://dblp.org/pid/36/8610
https://dblp.org/rec/conf/icfp/ArnoldHKBS10,https://dblp.org/pid/s/SSagiv
https://dblp.org/rec/conf/icfp/ArntzeniusK16,https://dblp.org/pid/184/8339
https://dblp.org/rec/conf/icfp/ArntzeniusK16,https://dblp.org/pid/92/1903
https://dblp.org/rec/conf/icfp/Ashley97,https://dblp.org/pid/29/6921
https://dblp.org/rec/conf/icfp/AtkeyM13,https://dblp.org/pid/04/5591
https://dblp.org/rec/conf/icfp/AtkeyM13,https://dblp.org/pid/34/6643
https://dblp.org/rec/conf/icfp/Augustsson98,https://dblp.org/pid/a/LennartAugustsson
https://dblp.org/rec/conf/icfp/AugustssonMS08,https://dblp.org/pid/10/5699
https://dblp.org/rec/conf/icfp/AugustssonMS08,https://dblp.org/pid/96/1267
https://dblp.org/rec/conf/icfp/AugustssonMS08,https://dblp.org/pid/a/LennartAugustsson
https://dblp.org/rec/conf/icfp/AvanziniLM15,https://dblp.org/pid/32/2607
https://dblp.org/rec/conf/icfp/AvanziniLM15,https://dblp.org/pid/44/3105
https://dblp.org/rec/conf/icfp/AvanziniLM15,https://dblp.org/pid/63/5617
https://dblp.org/rec/conf/icfp/Axelsson12,https://dblp.org/pid/27/2907
https://dblp.org/rec/conf/icfp/AxelssonC13,https://dblp.org/pid/27/2907
https://dblp.org/rec/conf/icfp/AxelssonC13,https://dblp.org/pid/74/2610
https://dblp.org/rec/conf/icfp/BaarsS02,https://dblp.org/pid/81/6050
https://dblp.org/rec/conf/icfp/BaarsS02,https://dblp.org/pid/s/SDSwierstra
https://dblp.org/rec/conf/icfp/BahrBE15,https://dblp.org/pid/67/8292
https://dblp.org/rec/conf/icfp/BahrBE15,https://dblp.org/pid/97/2061
https://dblp.org/rec/conf/icfp/BahrBE15,https://dblp.org/pid/99/939
https://dblp.org/rec/conf/icfp/Baker-FinchKT00,https://dblp.org/pid/39/5521
https://dblp.org/rec/conf/icfp/Baker-FinchKT00,https://dblp.org/pid/48/1001
https://dblp.org/rec/conf/icfp/Baker-FinchKT00,https://dblp.org/pid/87/4953
https://dblp.org/rec/conf/icfp/Balabonski13,https://dblp.org/pid/26/8036
https://dblp.org/rec/conf/icfp/BalatVY09,https://dblp.org/pid/14/2548
https://dblp.org/rec/conf/icfp/BalatVY09,https://dblp.org/pid/81/3538
https://dblp.org/rec/conf/icfp/BalatVY09,https://dblp.org/pid/v/JeromeVouillon
https://dblp.org/rec/conf/icfp/Banerjee97,https://dblp.org/pid/65/1920
https://dblp.org/rec/conf/icfp/BarbosaCFGP10,https://dblp.org/pid/06/4387
https://dblp.org/rec/conf/icfp/BarbosaCFGP10,https://dblp.org/pid/07/8610
https://dblp.org/rec/conf/icfp/BarbosaCFGP10,https://dblp.org/pid/15/3253
https://dblp.org/rec/conf/icfp/BarbosaCFGP10,https://dblp.org/pid/77/8610
https://dblp.org/rec/conf/icfp/BarbosaCFGP10,https://dblp.org/pid/p/BenjaminCPierce
https://dblp.org/rec/conf/icfp/BaumanBHKPST15,https://dblp.org/pid/06/8153
https://dblp.org/rec/conf/icfp/BaumanBHKPST15,https://dblp.org/pid/167/5896
https://dblp.org/rec/conf/icfp/BaumanBHKPST15,https://dblp.org/pid/167/5962
https://dblp.org/rec/conf/icfp/BaumanBHKPST15,https://dblp.org/pid/50/2706
https://dblp.org/rec/conf/icfp/BaumanBHKPST15,https://dblp.org/pid/56/3287
https://dblp.org/rec/conf/icfp/BaumanBHKPST15,https://dblp.org/pid/78/6212
https://dblp.org/rec/conf/icfp/BaumanBHKPST15,https://dblp.org/pid/h/RobertHirschfeld
https://dblp.org/rec/conf/icfp/BeffaraD03,https://dblp.org/pid/31/6599
https://dblp.org/rec/conf/icfp/BeffaraD03,https://dblp.org/pid/38/5292
https://dblp.org/rec/conf/icfp/BellBH97,https://dblp.org/pid/33/2759
https://dblp.org/rec/conf/icfp/BellBH97,https://dblp.org/pid/62/6385
https://dblp.org/rec/conf/icfp/BellBH97,https://dblp.org/pid/b/FrancoiseBellegarde
https://dblp.org/rec/conf/icfp/BentonH09,https://dblp.org/pid/75/3287
https://dblp.org/rec/conf/icfp/BentonH09,https://dblp.org/pid/b/NickBenton
https://dblp.org/rec/conf/icfp/BentonK99,https://dblp.org/pid/93/2262
https://dblp.org/rec/conf/icfp/BentonK99,https://dblp.org/pid/b/NickBenton
https://dblp.org/rec/conf/icfp/BentonKR98,https://dblp.org/pid/86/2064
https://dblp.org/rec/conf/icfp/BentonKR98,https://dblp.org/pid/93/2262
https://dblp.org/rec/conf/icfp/BentonKR98,https://dblp.org/pid/b/NickBenton
https://dblp.org/rec/conf/icfp/BenzakenCF03,https://dblp.org/pid/54/4381
https://dblp.org/rec/conf/icfp/BenzakenCF03,https://dblp.org/pid/b/VBenzaken
