this_publ,title
https://dblp.org/rec/conf/icfp/0002KBD16,Higher-order ghost state.
https://dblp.org/rec/conf/icfp/0008E14,Type-based parametric analysis of program families.
https://dblp.org/rec/conf/icfp/Abadi06,Access control in a core calculus of dependency.
https://dblp.org/rec/conf/icfp/Abadi16,TensorFlow: learning functions at scale.
https://dblp.org/rec/conf/icfp/AbadiLL96,Analysis and Caching of Dependencies.
https://dblp.org/rec/conf/icfp/AbelP13,Wellfounded recursion with copatterns: a unified approach to termination and productivity.
https://dblp.org/rec/conf/icfp/AcarCRS16,Dag-calculus: a calculus for parallel computation.
https://dblp.org/rec/conf/icfp/AccattoliBM14,Distilling abstract machines.
https://dblp.org/rec/conf/icfp/AdamsD08,Efficient nondestructive equality checking for trees and graphs.
https://dblp.org/rec/conf/icfp/AertsV97,A GUI on Top of a Functional Language.
https://dblp.org/rec/conf/icfp/AhmedB08,Typed closure conversion preserves observational equivalence.
https://dblp.org/rec/conf/icfp/AhmedB11,An equivalence-preserving CPS translation via multi-language semantics.
https://dblp.org/rec/conf/icfp/AhmedFM05,A step-indexed model of substructural state.
https://dblp.org/rec/conf/icfp/AhnS11,A hierarchy of mendler style recursion combinators: taming inductive datatypes with negative occurrences.
https://dblp.org/rec/conf/icfp/AlpuenteHLV99,Specialization of Inductively Sequential Functional Logic Programs.
https://dblp.org/rec/conf/icfp/AnandCK01,Charting Patterns on Price History.
https://dblp.org/rec/conf/icfp/AngiuliMLH14,Homotopical patch theory.
https://dblp.org/rec/conf/icfp/AnP98,A Structured Approach to Retrieving Functions by Types.
https://dblp.org/rec/conf/icfp/AriolaHS04,A type-theoretic foundation of continuations and prompts.
https://dblp.org/rec/conf/icfp/Armstrong97,The Development of Erlang.
https://dblp.org/rec/conf/icfp/ArnoldHKBS10,Specifying and verifying sparse matrix codes.
https://dblp.org/rec/conf/icfp/ArntzeniusK16,Datafun: a functional Datalog.
https://dblp.org/rec/conf/icfp/Ashley97,The Effectiveness of Flow Analysis for Inlining.
https://dblp.org/rec/conf/icfp/AtkeyM13,Productive coprogramming with guarded recursion.
https://dblp.org/rec/conf/icfp/Augustsson98,Cayenne - a Language with Dependent Types.
https://dblp.org/rec/conf/icfp/AugustssonMS08,Paradise: a two-stage DSL embedded in Haskell.
https://dblp.org/rec/conf/icfp/AvanziniLM15,Analysing the complexity of functional programs: higher-order meets first-order.
https://dblp.org/rec/conf/icfp/Axelsson12,A generic abstract syntax model for embedded languages.
https://dblp.org/rec/conf/icfp/AxelssonC13,Using circular programs for higher-order syntax: functional pearl.
https://dblp.org/rec/conf/icfp/BaarsS02,Typing dynamic typing.
https://dblp.org/rec/conf/icfp/BahrBE15,Certified symbolic management of financial multi-party contracts.
https://dblp.org/rec/conf/icfp/Baker-FinchKT00,An operational semantics for parallel lazy evaluation.
https://dblp.org/rec/conf/icfp/Balabonski13,"Weak optimality, and the meaning of sharing."
https://dblp.org/rec/conf/icfp/BalatVY09,"Experience report: ocsigen, a web programming framework."
https://dblp.org/rec/conf/icfp/Banerjee97,"A Modular, Polyvariant, and Type-Based Closure Analysis."
https://dblp.org/rec/conf/icfp/BarbosaCFGP10,Matching lenses: alignment and view update.
https://dblp.org/rec/conf/icfp/BaumanBHKPST15,Pycket: a tracing JIT for a functional language.
https://dblp.org/rec/conf/icfp/BeffaraD03,Disjunctive normal forms and local exceptions.
https://dblp.org/rec/conf/icfp/BellBH97,Type-Driven Defunctionalization.
https://dblp.org/rec/conf/icfp/BentonH09,"Biorthogonality, step-indexing and compiler correctness."
https://dblp.org/rec/conf/icfp/BentonK99,Interlanguage Working Without Tears: Blending SML with Java.
https://dblp.org/rec/conf/icfp/BentonKR98,Compiling Standard ML to Java Bytecodes.
https://dblp.org/rec/conf/icfp/BenzakenCF03,CDuce: an XML-centric general-purpose language.
https://dblp.org/rec/conf/icfp/BergerHY05,A logical analysis of aliasing in imperative higher-order functions.
https://dblp.org/rec/conf/icfp/BergstromFLRS14,Practical and effective higher-order optimizations.
https://dblp.org/rec/conf/icfp/BergstromR12,Nested data-parallelism on the gpu.
https://dblp.org/rec/conf/icfp/BergstromRRSF10,Lazy tree splitting.
https://dblp.org/rec/conf/icfp/BernardyC13,Efficient divide-and-conquer parsing of practical context-free languages.
https://dblp.org/rec/conf/icfp/BernardyJP10,Parametricity and dependent types.
https://dblp.org/rec/conf/icfp/BernardyM13,Type-theory in color.
https://dblp.org/rec/conf/icfp/BeshersFS07,Experience report: using functional programming to manage a linux distribution.
https://dblp.org/rec/conf/icfp/BiermanGHL10,Semantic subtyping with an SMT solver.
https://dblp.org/rec/conf/icfp/BiermanHSSW03,"Dynamic rebinding for marshalling and update, with destruct-time?"
https://dblp.org/rec/conf/icfp/Bird06,Fifteen years of functional pearls.
https://dblp.org/rec/conf/icfp/BjesseCSS98,Lava: Hardware Design in Haskell.
https://dblp.org/rec/conf/icfp/Blanchette0T15,Foundational extensible corecursion: a proof assistant perspective.
https://dblp.org/rec/conf/icfp/BlazyLP16,An abstract memory functor for verified C static analyzers.
https://dblp.org/rec/conf/icfp/Blelloch10,Functional parallel algorithms.
https://dblp.org/rec/conf/icfp/BlellochG96,A Provable Time and Space Efficient Implementation of NESL.
https://dblp.org/rec/conf/icfp/BlumeA97,Lambda-Splitting: A Higher-Order Approach to Cross-Module Optimizations.
https://dblp.org/rec/conf/icfp/BlumeAC06,Extensible programming with first-class cases.
https://dblp.org/rec/conf/icfp/BlumeM04,A sound (and complete) model of contracts.
https://dblp.org/rec/conf/icfp/Bodik15,Program synthesis: opportunities for the next decade.
https://dblp.org/rec/conf/icfp/BorgstromLGS16,A lambda-calculus foundation for universal probabilistic programming.
https://dblp.org/rec/conf/icfp/BotlanR03,MLF: raising ML to the power of system F.
https://dblp.org/rec/conf/icfp/BowmanA15,Noninterference for free.
https://dblp.org/rec/conf/icfp/Brady13,Programming and reasoning with algebraic effects and dependent types.
https://dblp.org/rec/conf/icfp/BradyH10,Scrapping your inefficient engine: using partial evaluation to improve domain-specific language implementation.
https://dblp.org/rec/conf/icfp/BrasselHFHV07,Lazy call-by-value evaluation.
https://dblp.org/rec/conf/icfp/BreitnerEJW14,Safe zero-cost coercions for Haskell.
https://dblp.org/rec/conf/icfp/BringertR06,A pattern for almost compositional functions.
https://dblp.org/rec/conf/icfp/BroadbentCHS13,C-SHORe: a collapsible approach to higher-order verification.
https://dblp.org/rec/conf/icfp/BrobergFS04,Regular expression patterns.
https://dblp.org/rec/conf/icfp/BuirasVR15,HLIO: mixing static and dynamic typing for information-flow control in Haskell.
https://dblp.org/rec/conf/icfp/BuissonD10,ReCaml: execution state as the cornerstone of reconfigurations.
https://dblp.org/rec/conf/icfp/Carlsson02,Monads for incremental computing.
https://dblp.org/rec/conf/icfp/CaspiP96,Synchronous Kahn Networks.
https://dblp.org/rec/conf/icfp/CastagnaN08,Typed iterators for XML.
https://dblp.org/rec/conf/icfp/CastagnaP016,Set-theoretic types for polymorphic variants.
https://dblp.org/rec/conf/icfp/CastagnaX11,Set-theoretic foundation of parametric polymorphism and subtyping.
https://dblp.org/rec/conf/icfp/CastroHS16,"Farms, pipes, streams and reforestation: reasoning about structured parallel processes using types and hylomorphisms."
https://dblp.org/rec/conf/icfp/ChakravartyK00,More types for nested data parallel programming.
https://dblp.org/rec/conf/icfp/ChakravartyK01,Functional Array Fusion.
https://dblp.org/rec/conf/icfp/ChakravartyKJ05,Associated type synonyms.
https://dblp.org/rec/conf/icfp/ChapmanDMM10,The gentle art of levitation.
https://dblp.org/rec/conf/icfp/Chargueraud10,Program verification through characteristic formulae.
https://dblp.org/rec/conf/icfp/Chargueraud11,Characteristic formulae for the verification of imperative programs.
https://dblp.org/rec/conf/icfp/ChargueraudP08,Functional translation of a calculus of capabilities.
https://dblp.org/rec/conf/icfp/Chaudhuri09,A concurrent ML library in concurrent Haskell.
https://dblp.org/rec/conf/icfp/CheadleFMJW00,Non-stop Haskell.
https://dblp.org/rec/conf/icfp/ChenAT14,Functional programming for dynamic and large data with self-adjusting computation.
https://dblp.org/rec/conf/icfp/ChenDHA11,Implicit self-adjusting computation for purely functional programs.
https://dblp.org/rec/conf/icfp/ChenEW12,An error-tolerant type system for variational lambda calculus.
https://dblp.org/rec/conf/icfp/Cheney05,Scrap your nameplate: (functional pearl).
https://dblp.org/rec/conf/icfp/Cheney08,FLUX: functional updates for XML.
https://dblp.org/rec/conf/icfp/CheneyLW13,A practical theory of language-integrated query.
https://dblp.org/rec/conf/icfp/ChenX03,Meta-programming through typeful code representation.
https://dblp.org/rec/conf/icfp/ChenX05,Combining programming with theorem proving.
https://dblp.org/rec/conf/icfp/ChinH97,A Bounds Inference Method for Vector-Based Memoisation.
https://dblp.org/rec/conf/icfp/Chitil01,Compositional Explanation of Types and Algorithmic Debugging of Type Errors.
https://dblp.org/rec/conf/icfp/Chitil12,Practical typed lazy contracts.
https://dblp.org/rec/conf/icfp/Chitil99,Type Inference Builds a Short Cut to Deforestation.
https://dblp.org/rec/conf/icfp/Chlipala06,Modular development of certified program verifiers with a proof assistant.
https://dblp.org/rec/conf/icfp/Chlipala08,Parametric higher-order abstract syntax for mechanized semantics.
https://dblp.org/rec/conf/icfp/Chlipala13,The bedrock structured programming system: combining generative metaprogramming and hoare logic in an extensible program verifier.
https://dblp.org/rec/conf/icfp/Chlipala15,An optimizing compiler for a purely functional web-application language.
https://dblp.org/rec/conf/icfp/ChlipalaMMSW09,Effective interactive proofs for higher-order imperative programs.
https://dblp.org/rec/conf/icfp/ChristiansenB16,Elaborator reflection: extending Idris in Idris.
https://dblp.org/rec/conf/icfp/ChristiansenDD16,All sorts of permutations (functional pearl).
https://dblp.org/rec/conf/icfp/ChristiansenH04,Searching for deadlocks while debugging concurrent haskell programs.
https://dblp.org/rec/conf/icfp/Chuang01,Generic Validation of Structural Content with Parametric Modules.
https://dblp.org/rec/conf/icfp/ChuangH96,A Probabilistic Approach to the Problem of Automatic Selection of Data Representations.
https://dblp.org/rec/conf/icfp/ChyzakD11,"Using camlp4 for presenting dynamic mathematics on the web: DynaMoW, an OCaml language extension for the run-time generation of mathematical contents and their presentation on the web."
https://dblp.org/rec/conf/icfp/CicekP016,A type theory for incremental computational complexity with control flow changes.
https://dblp.org/rec/conf/icfp/Claessen97,Graphs in Compilation.
https://dblp.org/rec/conf/icfp/ClaessenH00,QuickCheck: a lightweight tool for random testing of Haskell programs.
https://dblp.org/rec/conf/icfp/ClaessenPSHSAW09,Finding race conditions in Erlang with QuickCheck and PULSE.
https://dblp.org/rec/conf/icfp/ClaessenVM97,Structuring Graphical Paradigms in TkGofer.
https://dblp.org/rec/conf/icfp/CockxDP14,Pattern matching without K.
https://dblp.org/rec/conf/icfp/CockxDP16,Unifiers as equivalences: proof-relevant unification of dependently typed data.
https://dblp.org/rec/conf/icfp/ColazzoGMS04,Types for path correctness of XML queries.
https://dblp.org/rec/conf/icfp/ConveyFGMH08,Experience report: erlang in acoustic ray tracing.
https://dblp.org/rec/conf/icfp/CookL97,Disposable Memo Functions (Extended Abstract).
https://dblp.org/rec/conf/icfp/CooperM07,Experience report: a Haskell interpreter for cellML.
https://dblp.org/rec/conf/icfp/CouttsLS07,Stream fusion: from lists to streams to nothing at all.
https://dblp.org/rec/conf/icfp/Crary00,Typed compilation of inclusive subtyping.
https://dblp.org/rec/conf/icfp/Crary10,Higher-order representation of substructural logics.
https://dblp.org/rec/conf/icfp/Crary97,Foundations for the Implementation of Higher-Order Subtyping.
https://dblp.org/rec/conf/icfp/Crary99,A Simple Proof Technique for Certain Parametricity Results.
https://dblp.org/rec/conf/icfp/CraryV02,"An expressive, scalable type theory for certified code."
https://dblp.org/rec/conf/icfp/CraryW99,Flexible Type Analysis.
https://dblp.org/rec/conf/icfp/CraryWM98,Intensional Polymorphism in Type-Erasure Semantics.
https://dblp.org/rec/conf/icfp/CrestaniS10,Experience report: growing programming languages for beginning students.
https://dblp.org/rec/conf/icfp/CulpepperF10,Fortifying macros.
https://dblp.org/rec/conf/icfp/CuoqSBBCCMPP09,Experience report: OCaml for an industrial-strength static analysis framework.
https://dblp.org/rec/conf/icfp/CurienH00,The duality of computation.
https://dblp.org/rec/conf/icfp/DagandM12,Transporting functions across ornaments.
https://dblp.org/rec/conf/icfp/DagandTT16,Partial type equivalences for verified dependent interoperability.
https://dblp.org/rec/conf/icfp/DamianD00,Syntactic accidents in program analysis: on the impact of the CPS transformation.
https://dblp.org/rec/conf/icfp/DanielsGR12,Experience report: Haskell in computational biology.
https://dblp.org/rec/conf/icfp/Danielsson10,Total parser combinators.
https://dblp.org/rec/conf/icfp/Danielsson12,Operational semantics using the partiality monad.
https://dblp.org/rec/conf/icfp/DannerLR15,Denotational cost semantics for functional languages with inductive types.
https://dblp.org/rec/conf/icfp/DantasWWW05,PolyAML: a polymorphic aspect-oriented functional programming language.
https://dblp.org/rec/conf/icfp/Danvy08,Defunctionalized interpreters for programming languages.
https://dblp.org/rec/conf/icfp/DanvyG02,There and back again.
https://dblp.org/rec/conf/icfp/DanvyS07,On Barron and Strachey's cartesian product function.
https://dblp.org/rec/conf/icfp/DaraisH16,Constructive Galois connections: taming the Galois connection framework for mechanized metatheory.
https://dblp.org/rec/conf/icfp/DaviesP00,Intersection types and computational effects.
https://dblp.org/rec/conf/icfp/DelawareKSO13,Modular monadic meta-theory.
https://dblp.org/rec/conf/icfp/DelbiancoN13,Hoare-style reasoning with (algebraic) continuations.
https://dblp.org/rec/conf/icfp/DenielouL06,Abstraction preservation and subtyping in distributed languages.
https://dblp.org/rec/conf/icfp/DevrieseP11,On the bright side of type classes: instance arguments in Agda.
https://dblp.org/rec/conf/icfp/DevrieseP13,Typed syntactic meta-programming.
https://dblp.org/rec/conf/icfp/DiatchkiJL05,High-level views on low-level representations.
https://dblp.org/rec/conf/icfp/DimockMTW97,Strongly Typed Flow-Directed Representation Transformations.
https://dblp.org/rec/conf/icfp/DimockWMTW01,Functioning without Closure: Type-Safe Customized Function Representations for Standard ML.
https://dblp.org/rec/conf/icfp/DimoulasNFF16,"Oh Lord, please don't let contracts be misunderstood (functional pearl)."
https://dblp.org/rec/conf/icfp/DisneyFM11,Temporal higher-order contracts.
https://dblp.org/rec/conf/icfp/Dolan13,Fun with semirings: a functional pearl on the abuse of linear algebra.
